year,quarter,revenue_in_millions($),report_date
2010,Q2,28,2010-08-13
2010,Q3,31,2010-11-12
2011,Q1,49,2011-05-13
2011,Q2,58,2011-08-12
2011,Q3,58,2011-11-14
2011,Q4,39,2012-02-14
2012,Q1,30,2012-05-10
2012,Q2,27,2012-08-02
2012,Q3,50,2012-11-07
2012,Q4,306,2013-02-07
2013,Q1,562,2013-05-10
2013,Q2,405,2013-08-09
2013,Q3,431,2013-11-08
2013,Q4,615,2014-02-08
2014,Q1,621,2014-05-09
2014,Q2,769,2014-08-08
2014,Q3,852,2014-11-07
2014,Q4,957,2015-02-07
2015,Q1,940,2015-05-08
2015,Q2,955,2015-08-07
2015,Q3,937,2015-11-05
2015,Q4,1214,2016-02-05
2016,Q1,1147,2016-05-10
2016,Q2,1270,2016-08-05
2016,Q3,2298,2016-11-01
2016,Q4,2285,2017-02-01
2017,Q1,2696,2017-05-10
2017,Q2,2790,2017-08-04
2017,Q3,2985,2017-11-03
2017,Q4,3288,2018-02-03
2018,Q1,3409,2018-05-07
2018,Q2,4002,2018-08-06
2018,Q3,6824,2018-11-02
2018,Q4,7226,2019-02-02
2019,Q1,4541,2019-04-29
2019,Q2,6350,2019-07-29
2019,Q3,6303,2019-10-29
2019,Q4,7384,2020-01-29
2020,Q1,5985,2020-04-30
2020,Q2,6036,2020-07-28
2020,Q3,8771,2020-10-26
2020,Q4,10744,2021-01-26
2021,Q1,10389,2021-04-28
2021,Q2,11958,2021-07-27
2021,Q3,13757,2021-10-25
2021,Q4,17719,2022-01-25
2022,Q1,18756,2022-04-25
2022,Q2,16934,2022-07-25
2022,Q3,21454,2022-10-24
2022,Q4,24318,2023-01-24
2023,Q1,23329,2023-04-24
2023,Q2,24927,2023-07-24
2023,Q3,23350,2023-10-23
2023,Q4,25167,2024-01-23
2024,Q1,21301,2024-04-24
2024,Q2,25500,2024-07-24
2024,Q3,25182,2024-10-24
2024,Q4,25707,2025-01-24
2025,Q1,19335,2025-04-23
